Team,Population Basis,Prior State,Week 2 Evidence,Classification,Proposed Destination,Proposed Action,Workbook Cells,Change Type,Source URL,Source Date,Verified At,Confidence,Blocker Status,Decision,Workbook Updated?
CLE,Blocker row,"Values blank, Confidence Low, competition explicitly unsettled","OFFICIAL 2026-08-24: Browns named Deshaun Watson the 2026 starting QB over Shedeur Sanders; Sanders is the backup. Baseline QB in workbook is already Watson, so Active == Baseline.",UPDATE,QB VALUES,Confidence Low->High; replace source with the official announcement; set last-update 2026-08-24. Leave C12/E12 at 1.0.,"QB VALUES!I12, J12, K12",Metadata,https://sports.yahoo.com/nfl/live/nfl-news-injury-updates-preseason-week-2-schedule-whos-playing-starters-143714619.html,2026-08-24,2026-08-24T14:04Z,HIGH,RESOLVED — competition officially settled,UPDATE,Y
WAS,Blocker row,Blocker: replacement left tackle unconfirmed,"OFFICIAL: HC Dan Quinn named Brandon Coleman the starting LT after Laremy Tunsil's torn triceps required surgery; Coleman worked with the starters. Jayden Daniels was active and took 3 snaps in Week 2, his first game action since December.",UPDATE,NONE,Monitor-layer only: record the named replacement LT and Daniels' return to game action. No points or rating proposed.,(none),Monitor-only,https://www.commanders.com/news/commanders-confident-brandon-coleman-tackle-laremy-tunsil,2026-08-10,2026-08-24T14:04Z,HIGH,RESOLVED — replacement LT now named,PENDING,N
CHI,Blocker row,Blocker: Burden III diagnosis and timeline not reported,Luther Burden III diagnosis reported as a groin injury sustained in practice; expected to miss the remainder of the preseason but to be available for Week 1.,UPDATE,NONE,Monitor-layer only: record the diagnosis and expected Week 1 availability. No points or rating proposed.,(none),Monitor-only,https://www.espn.com/nfl/story/_/id/49574301/sources-bears-luther-burden-iii-expected-miss-preseason,2026-08-10,2026-08-24T14:04Z,HIGH,RESOLVED — diagnosis and timeline now reported,PENDING,N
NYG,Blocker row,Injury field attributed a carted-off Jamal Adams to New York,"RECORD CORRECTION: Jamal Adams is a Minnesota Vikings player, injured during the MIN@NYG game — not a Giants player. Independently, Adams is now confirmed out for the season with a knee injury.",RECORD CORRECTION,NONE,Remove the misattribution from the NYG monitor row. No points or rating proposed.,(none),Monitor-only,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jamal-adams-is-out-for-the-year-with-a-knee-injury,2026-08-16,2026-08-24T14:04Z,HIGH,RESOLVED — misattribution corrected,PENDING,N
MIN,Blocker row (integrity verify only),"Confidence High, Baseline=Active=Kyler Murray, C25/E25=3.0, last-update 2026-08-11, Decision UPDATE/Y","No Week 2 evidence contradicts the Vikings' 2026-08-11 official starter announcement. Separately, Vikings S Jamal Adams is out for the season (knee) — a roster fact, not a QB-record fact.",NO CHANGE,NONE,Preserve all current MIN entries exactly. Verified intact.,(none — verification only),Monitor-only,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jamal-adams-is-out-for-the-year-with-a-knee-injury,2026-08-16,2026-08-24T14:04Z,HIGH,No blocker; integrity confirmed,UPDATE,Y
PHI,Blocker row,Blocker: reasons for five defensive absences unreported,OLB Jonathan Greenard on PUP with a pectoral injury; DC Vic Fangio stated he does not know when Greenard will return and there is concern he could miss the start of the regular season.,MONITOR,NONE,Monitor-layer only: record the Greenard pec injury and Week 1 availability concern. No points or rating proposed.,(none),Monitor-only,https://www.espn.com/nfl/story/_/id/49582563/eagles-olb-greenard-another-couple-weeks-pec-injury,2026-08-21,2026-08-24T14:04Z,HIGH,PARTIAL — Greenard explained; other absences still unreported,PENDING,N
LV,Blocker row,Blocker: Cousins' own Week 1 snap count unverified,RB Ashton Jeanty left practice with a right knee injury and was helped off; severity not disclosed. No change to the Cousins QB1 position.,MONITOR,NONE,Monitor-layer only: record the Jeanty injury pending a diagnosis. QB record unchanged; approved +0.50 deviation untouched.,(none),Monitor-only,https://www.si.com/nfl/raiders/onsi/las-vegas-best-case-worst-after-ashton-jeanty-injury,2026-08-24,2026-08-24T14:04Z,MEDIUM,OPEN — Jeanty diagnosis and severity not disclosed,PENDING,N
HOU,Blocker row,Blocker: Week 1 starter participation unverified,WR Jayden Higgins (second year) tore his ACL; Xavier Hutchinson moves into the Z receiver role.,MONITOR,NONE,Monitor-layer only: record the Higgins ACL and the resulting depth-chart move. No points or rating proposed.,(none),Monitor-only,https://www.nfl.com/news/2026-nfl-preseason-week-2-what-we-learned-saturday-games,2026-08-23,2026-08-24T14:04Z,MEDIUM,PARTIAL — new injury recorded; Week 1 participation still unverified,PENDING,N
NO,Blocker row,Blocker: no official statement on whether NO changed its Week 1 starter,Zach Wilson started Week 2 against the Rams after outplaying Spencer Rattler; workbook baseline QB Tyler Shough again did not start. Three different QBs have now started or led ahead of the baseline.,NUMERIC REVIEW,QB VALUES,No governed mapping exists for a preseason-usage-driven baseline change. Leave C27/E27 unchanged; escalate for explicit ruling.,"QB VALUES!C27, E27 (UNCHANGED)",Numerical/model-feeding (NOT applied),https://www.nfl.com/news/2026-nfl-preseason-week-2-what-we-learned-saturday-games,2026-08-23,2026-08-24T14:04Z,MEDIUM,OPEN — still no official NO Week 1 starter declaration,PENDING,N
ATL,Blocker row,Blocker: post-game snap total for Tua unverified,Neither Tua Tagovailoa nor Michael Penix Jr. played in Week 2; Cooper Rush started and was relieved by Jack Strand. No official regular-season starter declaration.,MONITOR,NONE,Monitor-layer only: record that neither QB played and the competition remains officially undeclared.,(none),Monitor-only,https://www.nfl.com/news/2026-nfl-preseason-week-2-what-we-learned-saturday-games,2026-08-23,2026-08-24T14:04Z,MEDIUM,OPEN — no official ATL Week 1 declaration,PENDING,N
DEN,Blocker row,Blocker: reason for Bo Nix hold-out not stated (rest vs precaution),"Bo Nix returned to action in Week 2 and was described as sharp, confirming the Week 1 hold-out was not injury-driven.",UPDATE,NONE,Monitor-layer only: record that Nix returned and the Week 1 hold-out was precautionary/planned rest.,(none),Monitor-only,https://www.cbssports.com/nfl/news/nfl-preseason-week-2-schedule-live-scores-updates-highlights-drew-allar-will-howard/live/,2026-08-22,2026-08-24T14:04Z,MEDIUM,RESOLVED — hold-out reason now evident,PENDING,N
PIT,Blocker row,Blocker: unresolved conflict on whether Rodgers took any Week 1 snaps,"Aaron Rodgers was inactive for the Week 1 preseason game against Green Bay, resolving the conflict: he took no snaps.",UPDATE,NONE,Monitor-layer only: record that Rodgers was inactive. No points or rating proposed.,(none),Monitor-only,https://www.sportsbettingdime.com/news/nfl/preseason-week-2-whos-playing-starting-full-guide/,2026-08-13,2026-08-24T14:04Z,MEDIUM,RESOLVED — Rodgers confirmed inactive,PENDING,N
GB,Blocker row,Blocker: pre-game expectation only; post-game snap confirmation unverified,"Jordan Love played briefly in the Week 1 preseason game against Pittsburgh, confirming participation.",UPDATE,NONE,Monitor-layer only: confirm Love's participation. No points or rating proposed.,(none),Monitor-only,https://www.sportsbettingdime.com/news/nfl/preseason-week-2-whos-playing-starting-full-guide/,2026-08-13,2026-08-24T14:04Z,MEDIUM,RESOLVED — participation confirmed,PENDING,N
ARI,Blocker row,Blocker: Week 1 starter participation unverified,"HC Mike LaFleur said starters would play one drive, two at most, with Jacoby Brissett starting and Gardner Minshew II relieving him.",UPDATE,NONE,Monitor-layer only: confirm Brissett as the starter and the limited-snap plan.,(none),Monitor-only,https://www.sportsbettingdime.com/news/nfl/preseason-week-2-whos-playing-starting-full-guide/,2026-08-21,2026-08-24T14:04Z,MEDIUM,RESOLVED — Brissett confirmed starter,PENDING,N
SF,Blocker row,Blocker: Week 1 starter participation unverified,"Brock Purdy made his 2026 preseason debut in Week 2, taking one to two series with the first-team offense; Mac Jones followed.",UPDATE,NONE,Monitor-layer only: confirm Purdy's participation and usage.,(none),Monitor-only,https://www.sportsbettingdime.com/news/nfl/preseason-week-2-whos-playing-starting-full-guide/,2026-08-20,2026-08-24T14:04Z,MEDIUM,RESOLVED — participation confirmed,PENDING,N
TB,Blocker row,Blocker: Browning diagnosis/timeline not specified,HC Todd Bowles planned eight to fifteen snaps for the starters in Week 2 and Baker Mayfield played. No further detail published on Jake Browning's back injury.,MONITOR,NONE,Monitor-layer only: record Mayfield's Week 2 usage; Browning blocker remains.,(none),Monitor-only,https://www.sportsbettingdime.com/news/nfl/preseason-week-2-whos-playing-starting-full-guide/,2026-08-22,2026-08-24T14:04Z,MEDIUM,OPEN — Browning diagnosis/timeline still unspecified,PENDING,N
