cell,column,team,old,new
C5,Baseline value,ARI,1.5,0
E5,Active value,ARI,1.5,0
I5,Confidence,ARI,Low,High
J5,Source/Notes,ARI,ESPN roster preview: Brissett expected; Minshew/Beck behind — TTW scale,"Brissett named Wk1 QB1 (NFL.com/CBS Aug'26); competition resolved for opener, Beck developmental."
K5,Last update,ARI,2026-07-13 00:00:00,2026-08-05 00:00:00
C6,Baseline value,ATL,3.0,
E6,Active value,ATL,3.0,
J6,Source/Notes,ATL,Falcons camp: Tua/Penix battle; Tua slight projection — TTW scale,"Competition officially OPEN but Tua (baseline) strongly favored Wk1: Penix Jr. rehabbing ACL, not medically cleared; Tua taking all 1st-team reps (Rapoport/ESPN/Athlon Aug'26). One depth-chart list showed Penix QB1 -> sources disagree; weight favors Tua."
K6,Last update,ATL,2026-07-13 00:00:00,2026-08-05 00:00:00
C7,Baseline value,BAL,5.75,0
E7,Active value,BAL,5.75,0
J7,Source/Notes,BAL,ESPN exec/scout 2026 QB survey — TTW scale,Lamar Jackson entrenched starter; no competition/injury (Yahoo/ESPN camp Aug'26).
K7,Last update,BAL,2026-07-13 00:00:00,2026-08-05 00:00:00
C8,Baseline value,BUF,6.5,0
E8,Active value,BUF,6.5,0
J8,Source/Notes,BUF,ESPN exec/scout 2026 QB survey (#1) — TTW scale,Josh Allen entrenched starter (Yahoo/ESPN Aug'26).
K8,Last update,BUF,2026-07-13 00:00:00,2026-08-05 00:00:00
C9,Baseline value,CAR,2.25,0
E9,Active value,CAR,2.25,0
J9,Source/Notes,CAR,PFF/WCG 2026 QB ranking — TTW scale,"Bryce Young starter, Pickett backup (Yahoo depth chart Aug'26)."
K9,Last update,CAR,2026-07-13 00:00:00,2026-08-05 00:00:00
C10,Baseline value,CHI,4.75,0
E10,Active value,CHI,4.75,0
J10,Source/Notes,CHI,ESPN exec/scout 2026 QB survey (#10) — TTW scale,Caleb Williams starter (Yahoo/ESPN Aug'26).
K10,Last update,CHI,2026-07-13 00:00:00,2026-08-05 00:00:00
C11,Baseline value,CIN,5.75,0
E11,Active value,CIN,5.75,0
J11,Source/Notes,CIN,ESPN exec/scout 2026 QB survey (top five) — TTW scale,Joe Burrow starter (Yahoo/ESPN Aug'26).
