Sheet,Cell / Range,Team,Action,Before,After,Note
PRESEASON,I5,ARI,PASTE VALUE,(blank),6.059,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I6,ATL,PASTE VALUE,(blank),9.849,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I7,BAL,PASTE VALUE,(blank),15.9755,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I8,BUF,PASTE VALUE,(blank),16.305,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I9,CAR,PASTE VALUE,(blank),9.5485,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I10,CHI,PASTE VALUE,(blank),13.555,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I11,CIN,PASTE VALUE,(blank),12.9195,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I12,CLE,PASTE VALUE,(blank),7.593500000000001,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I13,DAL,PASTE VALUE,(blank),12.9395,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I14,DEN,PASTE VALUE,(blank),14.23,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I15,DET,PASTE VALUE,(blank),14.312,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I16,GB,PASTE VALUE,(blank),14.609,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I17,HOU,PASTE VALUE,(blank),13.085,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I18,IND,PASTE VALUE,(blank),11.3205,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I19,JAX,PASTE VALUE,(blank),12.562,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I20,KC,PASTE VALUE,(blank),14.274000000000001,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I21,LA,PASTE VALUE,(blank),17.677,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I22,LAC,PASTE VALUE,(blank),13.7,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I23,LV,PASTE VALUE,(blank),7.4135,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I24,MIA,PASTE VALUE,(blank),6.1785,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I25,MIN,PASTE VALUE,(blank),11.3,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I26,NE,PASTE VALUE,(blank),14.249,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I27,NO,PASTE VALUE,(blank),9.8415,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
